date,country,city,temperature,pressure,humidity,dew,wind gust,uvi,precipitation,AQI,AQI_label,AQI_sort_order,is_weekday,month_name,season,silver_processed_date,data_quality_flag
2023-10-01,AT,Graz,14.5,1025.5,85.2,12.1,2.7,3.5,0.0,1.0936388888888886,Polluted / Unhealthy,2,0,October,Autumn,2026-06-26 09:36:12 UTC,VALID
2023-10-02,AT,Graz,15.1,1025.5,87.5,13.5,4.4,3.5,0.0,1.2302083333333333,Polluted / Unhealthy,2,1,October,Autumn,2026-06-26 09:36:12 UTC,VALID
2023-10-03,AT,Graz,16.0,1020.0,93.0,14.0,4.3,3.5,0.0,1.3636666666666666,Polluted / Unhealthy,2,1,October,Autumn,2026-06-26 09:36:12 UTC,VALID
2023-10-04,AT,Graz,16.5,1027.2,77.0,12.0,3.8,3.5,0.4,0.547638888888889,Safe / Healthy,1,1,October,Autumn,2026-06-26 09:36:12 UTC,VALID
2023-10-05,AT,Graz,14.0,1026.0,90.0,11.5,3.5,3.5,0.0,0.9197638888888888,Safe / Healthy,1,1,October,Autumn,2026-06-26 09:36:12 UTC,VALID
2023-10-06,AT,Graz,13.5,1026.0,87.4,10.5,0.1,3.5,0.0,0.9404305555555555,Safe / Healthy,1,1,October,Autumn,2026-06-26 09:36:12 UTC,VALID
2023-10-07,AT,Graz,15.7,1022.5,84.1,11.0,0.3,3.5,0.0,1.0077916666666666,Polluted / Unhealthy,2,0,October,Autumn,2026-06-26 09:36:12 UTC,VALID
2023-10-08,AT,Graz,13.0,1020.3,81.1,10.9,0.3,3.5,99.0,0.9097638888888888,Safe / Healthy,1,0,October,Autumn,2026-06-26 09:36:12 UTC,VALID
2023-10-09,AT,Graz,12.5,1020.0,81.0,9.0,0.9,3.5,0.0,0.8235277777777777,Safe / Healthy,1,1,October,Autumn,2026-06-26 09:36:12 UTC,VALID
2023-10-10,AT,Graz,13.9,1022.0,87.0,12.0,0.9,3.5,0.0,1.1176527777777776,Polluted / Unhealthy,2,1,October,Autumn,2026-06-26 09:36:12 UTC,VALID
2023-10-11,AT,Graz,14.0,1022.0,90.0,12.0,0.4,3.5,0.0,1.1822083333333333,Polluted / Unhealthy,2,1,October,Autumn,2026-06-26 09:36:12 UTC,VALID
2023-10-12,AT,Graz,14.4,1019.0,84.5,12.2,0.4,3.5,0.0,1.2335416666666668,Polluted / Unhealthy,2,1,October,Autumn,2026-06-26 09:36:12 UTC,VALID
2023-10-13,AT,Graz,14.0,1018.0,82.1,11.5,10.2,3.5,0.0,1.1926527777777778,Polluted / Unhealthy,2,1,October,Autumn,2026-06-26 09:36:12 UTC,VALID
2023-10-14,AT,Graz,16.5,1011.0,77.0,11.9,11.6,3.5,99.0,1.3044305555555555,Polluted / Unhealthy,2,0,October,Autumn,2026-06-26 09:36:12 UTC,VALID
2023-10-15,AT,Graz,11.0,1015.0,90.0,9.0,6.2,3.5,0.4,0.4999861111111112,Safe / Healthy,1,0,October,Autumn,2026-06-26 09:36:12 UTC,VALID
2023-10-16,AT,Graz,4.7,1021.2,88.6,3.0,6.4,3.5,0.0,0.8283055555555555,Safe / Healthy,1,1,October,Autumn,2026-06-26 09:36:12 UTC,VALID
2023-10-17,AT,Graz,5.5,1020.0,84.0,2.2,7.2,3.5,0.0,0.9182083333333333,Safe / Healthy,1,1,October,Autumn,2026-06-26 09:36:12 UTC,VALID
2023-10-18,AT,Graz,5.5,1017.0,93.0,3.0,6.5,3.5,0.0,1.3991111111111112,Polluted / Unhealthy,2,1,October,Autumn,2026-06-26 09:36:12 UTC,VALID
2023-10-19,AT,Graz,12.0,1002.0,91.2,7.5,5.7,3.5,0.0,1.4739861111111112,Polluted / Unhealthy,2,1,October,Autumn,2026-06-26 09:36:12 UTC,VALID
2023-10-20,AT,Graz,19.0,992.0,70.0,13.0,4.6,3.5,99.0,1.142861111111111,Polluted / Unhealthy,2,1,October,Autumn,2026-06-26 09:36:12 UTC,VALID
2023-10-21,AT,Graz,14.5,1000.6,93.0,13.6,6.6,3.5,0.7,0.7092083333333332,Safe / Healthy,1,0,October,Autumn,2026-06-26 09:36:12 UTC,VALID
2023-10-22,AT,Graz,13.0,1010.0,87.8,11.0,6.2,3.5,0.0,0.44331944444444443,Safe / Healthy,1,0,October,Autumn,2026-06-26 09:36:12 UTC,VALID
2023-10-23,AT,Graz,11.1,1014.5,88.5,9.3,6.3,3.5,0.0,0.6954305555555554,Safe / Healthy,1,1,October,Autumn,2026-06-26 09:36:12 UTC,VALID
2023-10-24,AT,Graz,11.6,1008.1,93.0,10.0,9.1,3.5,99.8,1.1203194444444444,Polluted / Unhealthy,2,1,October,Autumn,2026-06-26 09:36:12 UTC,VALID
2023-10-25,AT,Graz,13.2,1002.0,93.7,12.0,3.5,3.5,1.7,0.7306527777777777,Safe / Healthy,1,1,October,Autumn,2026-06-26 09:36:12 UTC,VALID
